,Aardvark,Addax,AfricanBuffalo,AfricanCrestedPorcupine,AfricanElephant,AfricanPenguin,AfricanWildDog,AldabraGiantTortoise,AlpineIbex,AmericanAlligator,AmericanBison,AmurLeopard,ArcticFox,ArcticWolf,AsianSmallClawedOtter,AsianWaterMonitor,Babirusa,BactrianCamel,BairdsTapir,BengalTiger,Binturong,BlackRhinoceros,BlackWhiteRuffedLemur,BlackWildebeest,BlueWildebeest,Bongo,Bonobo,BorneanOrangutan,CaliforniaSeaLion,CapuchinMonkey,Capybara,Caracal,Cassowary,Cheetah,ChinesePangolin,CloudedLeopard,CommonOstrich,CommonWarthog,CommonWombat,Cougar,CuviersDwarfCaiman,DallSheep,DamaGazelle,Dhole,Dingo,DromedaryCamel,Emu,EurasianLynx,EuropeanBadger,EuropeanFallowDeer,FennecFox,FormosanBlackBear,Fossa,GalapagosGiantTortoise,Gemsbok,Gharial,GiantAnteater,GiantOtter,GiantPanda,GreaterFlamingo,GreySeal,GrizzlyBear,HimalayanBrownBear,Hippopotamus,IndianElephant,IndianPeafowl,IndianRhinoceros,Jaguar,JapaneseMacaque,KingPenguin,Koala,KomodoDragon,LarGibbon,LittlePenguin,Llama,MalayanTapir,Mandrill,ManedWolf,Meerkat,Moose,NileLechwe,NileMonitor,NineBandedArmadillo,NorthAmericanBeaver,NorthIslandBrownKiwi,Nyala,Okapi,PlainsZebra,Platypus,PolarBear,PrairieDog,ProboscisMonkey,PronghornAntelope,PrzewalskisHorse,PygmyHippo,Quokka,Raccoon,RedCrownedCrane,RedDeer,RedFox,RedKangaroo,RedNeckedWallaby,RedPanda,RedRiverHog,RedRuffedLemur,Reindeer,ReticulatedGiraffe,RingTailedLemur,SableAntelope,SaltwaterCrocodile,SandCat,ScimitarHornedOryx,Siamang,SiberianTiger,SnowLeopard,SomaliWildAss,SouthernWhiteRhino,SpectacledCaiman,SpottedHyena,Springbok,StripedHyena,StripedSkunk,SunBear,TasmanianDevil,ThomsonsGazelle,TimberWolf,WestAfricanLion,WesternChimpanzee,WesternLowlandGorilla,WildWaterBuffalo
Aardvark,1.0,0.6781944444444445,0.3483333333333334,0.5636666666666666,0.76475,0.6702777777777778,0.0,0.8090833333333334,0.20380341880341882,0.0,0.1588205128205128,0.0,0.0,0.0,0.4409583333333334,0.0,0.5064027777777778,0.26916666666666667,0.40295833333333336,0.0,0.344375,0.3085388888888889,0.8043333333333333,0.8166346153846153,0.8166346153846153,0.7655416666666667,0.7895555555555556,0.3895,0.20065705128205125,0.3697083333333333,0.4623333333333333,0.0,0.41747222222222224,0.0,0.34041666666666665,0.0,0.777051282051282,0.36860000000000004,0.38243589743589745,0.0,0.39345833333333335,0.13854166666666667,0.76,0.0,0.0,0.5475694444444444,0.4459722222222222,0.0,0.3246442307692308,0.36976923076923074,0.6903333333333335,0.0,0.0,0.4290833333333333,0.6887500000000001,0.3298611111111111,0.5700000000000001,0.4195833333333333,0.17812499999999998,0.5308429487179488,0.15356303418803421,0.0,0.0,0.29199102564102564,0.40100961538461544,0.48766666666666675,0.1496371794871795,0.0,0.16545833333333335,0.12236324786324786,0.3631111111111111,0.0,0.38791666666666663,0.309866452991453,0.37725961538461533,0.35941666666666666,0.795625,0.5620833333333334,0.99,0.17173076923076924,0.7609500000000001,0.0,0.42486111111111113,0.3222692307692308,0.21959615384615383,0.95,0.7655416666666667,0.8126762820512821,0.41430555555555554,0.0,0.4085,0.361,0.38,0.4116666666666667,0.7212083333333333,0.38850534188034186,0.4021666666666667,0.25211538461538463,0.3531442307692308,0.0,0.4116666666666667,0.4116666666666667,0.206625,0.8309861111111111,0.7990555555555555,0.18969551282051283,0.9322179487179487,0.7990555555555555,0.8134679487179488,0.0,0.0,0.7877083333333333,0.38791666666666663,0.0,0.0,0.6781944444444445,0.31973833333333335,0.0,0.0,0.7885,0.0,0.3457553418803419,0.4371319444444444,0.0,0.7944679487179488,0.0,0.0,0.3158222222222222,0.3158222222222222,0.49083333333333334
Addax,0.6781944444444445,1.0,0.27127777777777784,0.6333333333333334,0.7547222222222223,0.8233333333333334,0.0,0.7019444444444445,0.25446428571428575,0.0,0.11761904761904762,0.0,0.24767857142857144,0.0,0.2533333333333333,0.29924999999999996,0.29291666666666666,0.4414484126984127,0.2652083333333333,0.0,0.2533333333333333,0.3219444444444445,0.665,0.6781944444444445,0.6781944444444445,0.6333333333333334,0.653125,0.26125,0.2945,0.2533333333333333,0.273125,0.0,0.28104166666666663,0.0,0.26125,0.0,0.99,0.2570277777777778,0.27444444444444444,0.0,0.2533333333333333,0.2148809523809524,0.99,0.0,0.0,0.99,0.38735119047619043,0.0,0.2375,0.285,0.95,0.0,0.25966666666666666,0.3219444444444444,0.95,0.29687500000000006,0.30874999999999997,0.27444444444444444,0.24629629629629626,0.42354166666666665,0.23852981029810297,0.0,0.0,0.27075000000000005,0.25993055555555555,0.31666666666666665,0.1161111111111111,0.0,0.19282738095238094,0.2019514157014157,0.2755,0.0,0.26125,0.30083333333333334,0.28349206349206346,0.2652083333333333,0.6399305555555556,0.3061111111111111,0.8154166666666667,0.20357142857142857,0.6921428571428572,0.6768750000000001,0.3764940476190476,0.24145833333333336,0.21923076923076923,0.6755555555555557,0.6333333333333334,0.6861111111111112,0.30203968253968255,0.0,0.43767857142857136,0.24541666666666667,0.3555741869918699,0.41977182539682534,0.629375,0.2810416666666667,0.27142857142857146,0.24541666666666667,0.285,0.0,0.44069444444444444,0.29706349206349203,0.25742816091954024,0.6610416666666667,0.665,0.21714285714285717,0.6834722222222223,0.665,0.6834722222222223,0.0,0.76,0.8206944444444444,0.26916666666666667,0.0,0.0,0.99,0.26811111111111113,0.0,0.0,0.8022222222222223,0.0,0.285,0.2572916666666667,0.24304166666666668,0.6597222222222223,0.0,0.0,0.26125,0.26125,0.3034722222222222
AfricanBuffalo,0.3483333333333334,0.27127777777777784,1.0,0.21755,0.32965,0.2918611111111111,0.0,0.7695,0.08840277777777777,0.0,0.0,0.0,0.08550000000000002,0.0,0.20688888888888893,0.21586111111111111,0.17057777777777777,0.11241666666666666,0.18630555555555556,0.0,0.1324722222222222,0.3000944444444445,0.3061111111111111,0.99,0.99,0.29238888888888886,0.3018888888888889,0.14250000000000002,0.10924999999999999,0.1383531746031746,0.21850000000000003,0.0,0.1498888888888889,0.0,0.13141666666666665,0.0,0.99,0.99,0.14860714285714285,0.0,0.18377222222222223,0.05700000000000001,0.29608333333333337,0.0,0.0,0.2142777777777778,0.16730555555555557,0.0,0.1311904761904762,0.14788333333333334,0.27455000000000007,0.0,0.0,0.38949999999999996,0.2755,0.1648777777777778,0.19633333333333336,0.1995,0.07388888888888889,0.24773888888888893,0.08866666666666667,0.0,0.0,0.33482222222222224,0.1938,0.1783888888888889,0.1783888888888889,0.0,0.07283333333333333,0.07293888888888889,0.13986111111111113,0.0,0.13933333333333334,0.15305555555555556,0.15200000000000002,0.1670793650793651,0.3043166666666667,0.1931666666666667,0.2939722222222223,0.08549999999999999,0.99,0.3721888888888889,0.16044444444444445,0.15335714285714286,0.09457777777777779,0.3483333333333334,0.29238888888888886,0.99,0.1926388888888889,0.0,0.15463888888888888,0.1741666666666667,0.14883333333333335,0.15675000000000003,0.32848888888888894,0.14566666666666667,0.18155555555555555,0.11852380952380953,0.14313333333333333,0.0,0.15675000000000003,0.15675000000000003,0.08655555555555555,0.99,0.3050555555555555,0.07916666666666668,0.99,0.3050555555555555,0.99,0.0,0.1878888888888889,0.99,0.13616666666666666,0.0,0.0,0.2744444444444445,0.99,0.0,0.0,0.99,0.0,0.14144444444444446,0.16255555555555554,0.09183333333333334,0.99,0.0,0.0,0.3018888888888889,0.0,0.22483333333333338
AfricanCrestedPorcupine,0.5636666666666666,0.6333333333333334,0.21755,1.0,0.6407222222222222,0.6016666666666667,0.0,0.49294444444444446,0.44426636904761907,0.0,0.15136666666666665,0.0,0.0,0.0,0.34256547619047617,0.0,0.40375,0.4096874999999999,0.3438095238095238,0.0,0.2764047619047619,0.2985111111111111,0.4899285714285715,0.6064166666666667,0.6064166666666667,0.47952380952380946,0.48630952380952375,0.28952380952380946,0.29054166666666664,0.28952380952380946,0.34935119047619045,0.0,0.3042261904761905,0.0,0.28273809523809523,0.0,0.722,0.21913333333333335,0.35624999999999996,0.0,0.3302380952380952,0.21092261904761903,0.76,0.0,0.0,0.6155208333333333,0.4372261904761905,0.0,0.4518154761904762,0.5467777777777778,0.64125,0.0,0.0,0.3029444444444444,0.6333333333333334,0.31101190476190477,0.38949999999999996,0.32590277777777776,0.26495701058201054,0.6214583333333334,0.3744583333333333,0.0,0.0,0.23591666666666666,0.33566666666666667,0.3694444444444444,0.14408333333333334,0.0,0.21001785714285715,0.20986808236808235,0.2958571428571429,0.0,0.2628333333333333,0.3628472222222222,0.33645833333333336,0.2899761904761905,0.46730952380952384,0.3720833333333333,0.76,0.30043749999999997,0.5939761904761904,0.0,0.44227777777777777,0.3137261904761905,0.24546886446886446,0.5668333333333333,0.47952380952380946,0.5992916666666667,0.36495833333333333,0.0,0.5498158263305322,0.2601190476190476,0.4354166666666666,0.5422916666666667,0.4834821428571429,0.42263690476190474,0.32842857142857146,0.2533333333333333,0.46681944444444445,0.0,0.5488888888888889,0.37999999999999995,0.27948173234811163,0.5564285714285714,0.4930952380952381,0.3127083333333333,0.5752777777777778,0.4930952380952381,0.6000833333333334,0.0,0.0,0.7402083333333334,0.2628333333333333,0.0,0.0,0.64125,0.24383333333333335,0.0,0.0,0.7188333333333334,0.0,0.3376458333333333,0.3393988095238095,0.0,0.5921666666666667,0.0,0.0,0.19452380952380952,0.19452380952380952,0.353875
AfricanElephant,0.76475,0.7547222222222223,0.32965,0.6407222222222222,1.0,0.8365277777777779,0.0,0.6887500000000001,0.23985615079365077,0.0,0.14830555555555555,0.0,0.22826388888888885,0.0,0.4124583333333333,0.43013888888888885,0.33329166666666665,0.35624999999999996,0.3984722222222223,0.0,0.28183333333333327,0.34147222222222223,0.6927083333333333,0.7877083333333333,0.7877083333333333,0.6729166666666666,0.6847916666666666,0.29291666666666666,0.2792321428571428,0.30083333333333334,0.42433333333333334,0.0,0.30083333333333334,0.0,0.28500000000000003,0.26652777777777775,0.8637083333333333,0.2964,0.35624999999999996,0.0,0.37736111111111104,0.19678571428571426,0.8444444444444444,0.0,0.0,0.6161805555555556,0.41113888888888883,0.0,0.3166666666666667,0.35070833333333334,0.7705555555555555,0.0,0.646,0.30874999999999997,0.76,0.3451666666666667,0.3887083333333333,0.38395833333333335,0.23881944444444442,0.551,0.24277777777777776,0.0,0.0,0.3470666666666667,0.40850000000000003,0.36944444444444435,0.17891666666666667,0.0,0.201875,0.230375,0.29555555555555557,0.0,0.266,0.3641666666666667,0.3517638888888889,0.34252777777777776,0.6887500000000001,0.3720833333333333,0.8418055555555556,0.24541666666666667,0.8629166666666668,0.8241250000000001,0.40638888888888886,0.3689166666666667,0.2375,0.7718750000000001,0.6729166666666666,0.7845416666666667,0.39319444444444446,0.0,0.48397222222222225,0.33645833333333336,0.4222222222222222,0.4815972222222223,0.7370416666666667,0.39055555555555554,0.37894444444444436,0.30030555555555555,0.34199999999999997,0.4903055555555556,0.48687500000000006,0.38263888888888886,0.260294540229885,0.8069722222222222,0.6927083333333333,0.22166666666666665,0.7679166666666667,0.6927083333333333,0.7853333333333333,0.0,0.5488888888888889,0.8668750000000001,0.266,0.0,0.0,0.7586805555555556,0.31350000000000006,0.0,0.0,0.8644999999999999,0.0,0.33355555555555555,0.32616666666666666,0.23331547619047618,0.7695,0.0,0.0,0.27391666666666664,0.27391666666666664,0.44808333333333333
AfricanPenguin,0.6702777777777778,0.8233333333333334,0.2918611111111111,0.6016666666666667,0.8365277777777779,1.0,0.0,0.6834722222222223,0.25037400793650794,0.0,0.1197,0.0,0.0,0.0,0.31798611111111114,0.0,0.30875,0.40652083333333333,0.3232638888888889,0.0,0.2586111111111111,0.30822222222222223,0.6676388888888889,0.6755555555555557,0.6755555555555557,0.6491666666666667,0.6557638888888888,0.26916666666666667,0.3697083333333333,0.26916666666666667,0.32986111111111116,0.0,0.28500000000000003,0.0,0.26916666666666667,0.0,0.7494444444444445,0.2538611111111111,0.27708333333333335,0.0,0.3061111111111111,0.21092261904761903,0.7916666666666667,0.0,0.0,0.5798958333333334,0.361,0.0,0.24541666666666667,0.27444444444444444,0.83125,0.0,0.0,0.3034722222222222,0.8233333333333334,0.35625,0.3061111111111111,0.320625,0.25157407407407406,0.49083333333333334,0.30716666666666664,0.0,0.0,0.31033333333333335,0.31534722222222217,0.3034722222222222,0.14408333333333334,0.0,0.19475,0.28828078078078073,0.2723333333333333,0.0,0.2586111111111111,0.3628472222222222,0.27286111111111117,0.32986111111111116,0.6478472222222222,0.29291666666666666,0.7916666666666667,0.2529375,0.7811111111111112,0.0,0.3625833333333333,0.2942361111111111,0.22978632478632477,0.6834722222222223,0.6491666666666667,0.6663194444444445,0.3594166666666666,0.0,0.38605392156862745,0.33249999999999996,0.36416666666666664,0.37999999999999995,0.7283333333333333,0.2876388888888889,0.3119166666666667,0.29661111111111105,0.27444444444444444,0.0,0.39055555555555554,0.3008333333333333,0.26270593869731806,0.7322916666666667,0.6676388888888889,0.21770833333333334,0.6825925925925926,0.6676388888888889,0.6729166666666668,0.0,0.0,0.771875,0.2586111111111111,0.0,0.0,0.8249166666666667,0.27233333333333337,0.0,0.0,0.7520833333333333,0.0,0.2751041666666667,0.2533333333333333,0.0,0.6491666666666668,0.0,0.0,0.26230555555555557,0.26230555555555557,0.35756944444444444
AfricanWildDog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6757179487179488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AldabraGiantTortoise,0.8090833333333334,0.7019444444444445,0.7695,0.49294444444444446,0.6887500000000001,0.6834722222222223,0.6757179487179488,1.0,0.20314369658119658,0.2655128205128205,0.30205128205128207,0.21517094017094013,0.21040064102564102,0.10555555555555554,0.35915277777777777,0.3852777777777778,0.4243333333333333,0.30215277777777777,0.3512361111111111,0.35836111111111113,0.3953055555555556,0.6927083333333334,0.9154305555555556,0.6788846153846154,0.6788846153846154,0.8966944444444443,0.9106805555555556,0.5219722222222222,0.20989316239316239,0.4058611111111112,0.3784166666666666,0.5053472222222222,0.5504722222222223,0.6809957264957266,0.3984722222222222,0.38369444444444445,0.6757179487179488,0.8090833333333334,0.28954700854700854,0.34463888888888883,0.34648611111111116,0.12666666666666668,0.6940277777777778,0.3533472222222222,0.3887083333333333,0.5027083333333333,0.3887083333333333,0.2510192307692308,0.26843589743589746,0.27476923076923077,0.6935,0.3485972222222222,0.8866666666666667,0.5700000000000001,0.7019444444444445,0.39583333333333326,0.43224999999999997,0.3699722222222222,0.18393055555555557,0.48175961538461537,0.1786324786324786,0.17002564102564102,0.11456837606837607,0.6611025641025641,0.3535096153846154,0.4011111111111111,0.2941346153846154,0.3580972222222222,0.17970833333333333,0.1334465811965812,0.4269722222222222,0.4428055555555555,0.49663888888888885,0.25576923076923075,0.2957179487179487,0.3731388888888888,0.92625,0.43224999999999997,0.6900694444444445,0.1558974358974359,0.6738666666666667,0.7687083333333334,0.38395833333333335,0.264741452991453,0.2227628205128205,0.8075,0.8966944444444443,0.6809957264957266,0.3760416666666666,0.11479166666666668,0.323,0.40058333333333335,0.30874999999999997,0.32405555555555554,0.7900833333333334,0.2726581196581197,0.34833333333333333,0.22783760683760684,0.27793589743589747,0.3953055555555556,0.3293333333333333,0.3135,0.20293055555555556,0.767388888888889,0.9154305555555556,0.1778205128205128,0.8087179487179488,0.9154305555555556,0.6757179487179488,0.4290833333333333,0.4881944444444445,0.7093333333333335,0.5019166666666668,0.174775641025641,0.13356837606837607,0.6953472222222222,0.6606722222222223,0.39372222222222214,0.6725512820512821,0.6903333333333335,0.5681527777777777,0.27265811965811965,0.3573055555555555,0.2117403846153846,0.6757179487179488,0.20055555555555557,0.6767735042735044,0.9106805555555556,0.9106805555555556,0.3873888888888889
AlpineIbex,0.20380341880341882,0.25446428571428575,0.08840277777777777,0.44426636904761907,0.23985615079365077,0.25037400793650794,0.0,0.20314369658119658,1.0,0.0,0.17575000000000002,0.0,0.5700000000000001,0.0,0.1786,0.23987499999999998,0.19156058429118775,0.3071666666666667,0.19575480769230771,0.0,0.1774425287356322,0.10020238095238096,0.20464583333333333,0.2447569444444444,0.2447569444444444,0.2092528011204482,0.21903553921568628,0.20953553921568627,0.2805892857142857,0.18377976190476192,0.1964425287356322,0.0,0.19158333333333338,0.0,0.18960416666666666,0.0,0.2447569444444444,0.08370866013071897,0.287563492063492,0.0,0.20255357142857144,0.41732142857142857,0.24324900793650794,0.0,0.0,0.29936309523809523,0.2564434523809524,0.0,0.5478333333333333,0.6803809523809524,0.24852678571428571,0.0,0.07615833333333334,0.21045138888888887,0.23127976190476188,0.19949999999999998,0.23645220588235294,0.15965277777777778,0.39077546296296295,0.38475,0.4799761904761905,0.0,0.0,0.1045904761904762,0.2215347222222222,0.27227678571428576,0.09156944444444444,0.0,0.4187916666666667,0.24784821428571427,0.20834803921568631,0.0,0.18247916666666666,0.279797619047619,0.3823373015873015,0.22353273809523813,0.21454942810457517,0.2229861111111111,0.21914087301587298,0.46561309523809524,0.23614285714285713,0.24066666666666667,0.2978928571428571,0.35387500000000005,0.24835714285714286,0.24304942810457514,0.2092528011204482,0.2447569444444444,0.2964226190476191,0.0,0.2663392857142857,0.15485000000000002,0.3370803571428571,0.3061111111111111,0.2026666666666667,0.22585119047619048,0.35308333333333336,0.38197916666666665,0.5897916666666666,0.0,0.2325992063492063,0.2898253968253968,0.419760775862069,0.22022303921568628,0.22364583333333335,0.5448363095238096,0.24211805555555552,0.22364583333333335,0.2500347222222222,0.0,0.25050595238095236,0.26172123015873017,0.17068333333333335,0.0,0.0,0.26040178571428574,0.09494722222222221,0.0,0.0,0.23985615079365077,0.0,0.39583333333333326,0.21714285714285717,0.27583928571428573,0.2310347222222222,0.0,0.0,0.08761421568627452,0.08761421568627452,0.21488472222222219
AmericanAlligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655128205128205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2691666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
